title,address1,address2,city,state,zipcode,country,website,phone,tags,latitude,longitude
AVENUE 838,838 RUE DE ST-JOVITE,,MONT-TREMBLANT,QC,J8E 3J8,CANADA,,,,46.127681,-74.611554
BACKCOUNTRY BOUTIQUE,1000 N 2ND ST,SUITE 101,MCCALL, ID,83638,USA,,907-388-2154,,44.906954,-116.099101
BACKWARDS BOUTIQUE,16830 K TRL, ,PERRY,IA,50220,USA,,515-371-2530,,41.797235,-94.09834
BACKWARDS BOUTIQUE,1124 2ND STREET,,PERRY,IA,50220,USA,,,,41.839377,-94.10483
BAILEY ROAD,75 MAIN ST,,MONTPELIER,VT,5602,USA,,,,44.25984,-72.575332
BANG BANG BOUTIQUE,127 N TEJON ST,,COLORADO SPRINGS,CO,80903,USA,,719-635-5326,,38.835666,-104.823261
BASH BOUTIQUE,30 N. RANGELINE RD.,,CARMEL,IN,46032,USA,,,,39.978958,-86.127301
BAY WINDOW,705 HWY 35 N,,ROCKPORT ,TX,78382,USA,,,,28.029506,-97.048006
BE BOUTIQUE,1501 INDIA ST,#120,SAN DIEGO,CA,92101,USA,,,,32.721425,-117.167989
BE BOUTIQUE,7910 IVANHOE AVE.,,LA JOLLA,CA,92037,USA,,,,32.847333,-117.272265
BE BOUTIQUE,1501 INDIA ST.,#120,SAN DIEGO,CA,92101,USA,,,,32.721425,-117.167989
BEACOUP,635 W CAMPBELL,#238,RICHARDSON,TX,75080,USA,,,,32.976894,-96.741269
BEAULIEU COLLECTIONS,200 RUE SAINT GERMAIN O.,,RIMOUSKI,QC,G5L 4B7,CANADA,,,,48.44721,-68.536044
BEAUTIFUL BOUTIQUE,120 WEST MAIN ST.,,GRASS VALLEY,CA,95945,USA,,,,39.219618,-121.062828
BEAUTIFUL LIFE CLOTHING ,221 E PARK AVE,,ANACONDA,MT,59711,USA,,,,46.12858,-112.950429
BEAUTIFUL LIFE CLOTHING BOUTIQUE,22 W PARK ST,,BUTTE,MT,59701,USA,,,,46.012606,-112.536206
BEBE'S SHOES & APPAREL,2537 S. FLORIDA AVE,,LAKELAND,FL,33803,USA,,,,28.014169,-81.958346
BEE CHIC BOUTIQUE,33728 ESSENDENE AVE,,ABBOTSFORD,BC,V2S 2G9,CANADA,,,,49.04878,-122.290877
BEE YOU BOUTIQUE,16060 W. NATIONAL AVE.,,NEW BERLIN,WI,53151,USA,,262-202-8061,,42.972373,-88.114226
BEL'ORTIE,2768 LAURIER ST.,,ROCKLAND,ON,K4K1A2,CANADA,,,,45.542004,-75.301551
BELLA BLISS BOUTIQUE,105A E CALIFORNIA,,GAINESVILLE,TX,76240,USA,,940-366-0028,,33.624435,-97.14524
BELLA COT'N,236 HWY. 107 N.,,CASHIERS ,NC,28717,USA,,828-743-9593,,35.115862,-83.103141
BELLANOVA,222 96TH ST,,STONE HARBOR,NJ,8247,USA,,609-368-0606,,39.054027,-74.759041
BELLE LEES BOUTIQUE,355 COLUMBIA MEMORIAL PKWY,,LEAGUE CITY,TX,77573,USA,,281-532-6255,,29.526167,-95.03675
BELLES & BEAUS,309 E MAIN ST.,,RIVERTON,WY,82501,USA,,,,43.02428,-108.387275
BELOVED BOUTIQUE,213 2ND ST. EAST,,HASTINGS,MN,55033,USA,,,,44.744503,-92.850505
"BENDERS SHOES, CLOTHING AND GIFTS",901 W CENTRAL ENTRANCE,,DULUTH,MN,55811,USA,,,,46.802016,-92.146672
BESPOKE POST,151 W 25TH ST ,FLOOR 5,NEW YORK,NY,10001,USA,,516-560-3170,,40.745107,-73.993798
BETTINA BELLA,320 N SANTA CRUZ AVE,,LOS GATOS,CA,95030,USA,,408-335-1383,,37.227424,-121.981467
BEYOND THE ALLEY BOUTIQUE,394 ACADEMY RD,#100,WINNIPEG,MB,R3N 0B8,CANADA,,,,49.873573,-97.182834
BIKINI COMPANY,235 E GRANADA BLVD,,ORMOND BEACH,FL,32176,USA,,386-676-2525,,29.292462,-81.041033
BIRDIE'S AND HOWELL,28 NORTH HOWELL ST.,,HILLSDALE,MI,49242,USA,,,,41.920726,-84.632157
BIRKENSTOCK GENERAL STORE AND LEATHER GOODS,280 EAST BASSE RD ,#109,SAN ANTONIO,TX,78209,USA,,,,29.495168,-98.478971
BIT'R MAMAS,1279 FM1144,,KARNES CITY,TX,78118,USA,,,,28.88606,-97.930381
BK & CO,983 FARMINGTON AVE,,WEST HARTFORD,CT,6107,USA,https://bkcostyle.com/,860-232-6225,,41.761038,-72.744487
BLACKSMITH CLOTHING CO.,7806 HORSESHOE BAY RD, ,EGG HARBOR,WI,54209,USA,,920-868-3216,,45.048786,-87.280452
BLESSED BOUTIQUE,11701 LAKE VICTORIA GARDENS AVE,SUITE 7109,PALM BEACH GARDENS,FL,33410,USA,,561-506-6085,,26.849212,-80.092839
BLISS BY THE LAKE BOUTIQUE,126 MOORESVILLE COMMONS WAY ,SUITE C,MOORESVILLE,NC,28117,USA,,,,35.585432,-80.872116
BLONDIES,155 EL CAMINO REAL,,TUSTIN,CA,92780,USA,,714-838-0331,,33.744854,-117.823282
BLOOM AT AMBIANCE,6608 FOLSOM AUBURN RD ,#8,FOLSOM,CA,95630,USA,,916-936-4471,,38.68625,-121.178475
BLOOMINGDALES,5840 GLADES RD.,,BOCA RATON ,FL,33431,USA,,(561) 394-2000,,26.368555,-80.1362
BLOOMINGDALES,270 WALT WHITMAN RD.,,HUNTINGTON STATION,NY,11746,USA,,(631) 425-6700,,40.820949,-73.409047
BLOOMINGDALES,400 HACKENSACK AVE.,,HACKENSACK,NJ,7601,USA,,(201) 457-2000,,40.910794,-74.033058
BLOOMINGDALES,900 N. MICHIGAN AVE.,,CHICAGO,IL,60611,USA,,(312) 440-4460,,41.899614,-87.626102
BLOOMINGDALES,3105 PGA BLVD.,,PALM BEACH GARDENS,FL,33410,USA,,(561) 625-2000,,26.849387,-80.0844
BLOOMINGDALES,175 BLOOMINGDALE RD.,,WHITE PLAINS,NY,10605,USA,,(914) 684-6300,,41.024954,-73.756211
BLOOMINGDALES,8100 TYSONS CORNER CTR.,,MCLEAN,VA,22102,USA,,(703) 556-4600,,38.915956,-77.223637
BLOOMINGDALES,2 RT. 202 NORTH 660 WEST DEKALB PIKE,,KING OF PRUSSIA,PA,19406,USA,,(610) 337-6300,,40.087389,-75.384562
BLOOMINGDALES,2400 W. MORELAND PARK RD.,,WILLOW GROVE,PA,19090,USA,,(215) 706-3300,,40.141564,-75.117121
BLOOMINGDALES,4152 CONROY RD.,,ORLANDO,FL,32839,USA,,(407) 264-2400,,28.483837,-81.430448
BLOOMINGDALES,8778 SW 136TH ST.,,MIAMI,FL,33176,USA,,(305) 252-6300,,25.642763,-80.336334
BLOOMINGDALES,845 MARKET ST.,,SAN FRANCISCO,CA,94103,USA,,(415) 886-5300,,37.7841,-122.406145
BLOOMINGDALES,410 COMMONS PKWY.,,BRIDGEWATER,NJ,8807,USA,,(908) 762-2400,,40.587398,-74.620437
BLOOMINGDALES,4963 OLD ORCHARD CTR.,,SKOKIE,IL,60077,USA,,(847) 675-5200,,42.061235,-87.750771
BLOOMINGDALES,630 OLD COUNTRY RD.,,GARDEN CITY,NY,11530,USA,,(516) 873-2700,,40.739672,-73.613543
BLOOMINGDALES,14060 RIVERSIDE DR.,,SHERMAN OAKS,CA,91423,USA,,(818) 325-2200,,34.157442,-118.438892
BLOOMINGDALES,5300 WESTERN AVE.,,CHEVY CHASE,MD,20815,USA,,(240) 744-3700,,38.960027,-77.087237
BLOOMINGDALES,3 WILLOWBROOK BLVD.,,WAYNE,NJ,7470,USA,,(973) 582-2400,,40.889729,-74.248627
BLOOMINGDALES,3393 PEACHTREE RD. NE,,ATLANTA,GA,30326,USA,,(404) 495-2800,,33.846192,-84.364011
BLOOMINGDALES,1450 ALA MOANA BLVD.,,HONOLULU,HI,96814,USA,,(808) 664-7511,,21.291154,-157.84389
BLOOMINGDALES,7057 FRIARS RD.,,SAN DIEGO,CA,92108,USA,,(619) 610-6400,,32.768676,-117.164418
BLOOMINGDALES,3333 S. BRISTOL ST.,,COSTA MESA,CA,92626,USA,,(714) 824-4600,,33.68958,-117.890051
BLUE MOON ACCESSORIES,#101 - 721 MAIN ST.,,CANMORE,AB,T1W 2B2,CANADA,,,,51.08669,-115.348114
BLUE STAR BAZAAR,237 DANBURY RD,,WILTON,CT,6897,USA,,,,41.18928,-73.426725
BOARDWALK BOUTIQUE,210 E. SHERMAN AVE., STE# 111,COEUR D ALENE,ID,83814,USA,,208-667-4665,,47.673153,-116.783321
BOCA BOUTIQUE,39 HARBOR BLVD. ,,DESTIN,FL,32541,USA,,,,30.396086,-86.51167
BOCA BOUTIQUE & GALERI,174 WATERCOLOR WAY ,#102,SANTA ROSA BEACH,FL,32459,USA,,850-534-0002,,30.328813,-86.125956
BOOM BABIES,489 WESTCOTT ST,,SYRACUSE,NY,73210,USA,,315-472-1949,,43.041666,-76.11922
BORA BORA SWIMWEAR & RESORTWEAR,2 ST ANN DR.,,MANDEVILLE,LA,70471,USA,,985-951-8454,,30.38738,-90.081122
BORCH'S SPORTING GOODS,1309 EAST COLLEGE DRIVE,,MARSHALL,MN,56258,USA,,507-532-4880,,44.45023,-95.767688
BOUTIQUE 100 DESSU DESSOUS,"35, 5E AV E",,LA SARRE,QC,J9Z 1K7,CANADA,,,,48.800096,-79.201022
BOUTIQUE 360,3274 MERRICK ROAD,,WANTAGH,NY,11793,USA,,,,40.664459,-73.509368
BOUTIQUE ANABEL,8585 BOUL. LACROIX,,SAINT-GEORGES,QC,G5Y 5L6,CANADA,,,,46.133535,-70.700495
BOUTIQUE CAROLINE,550 AVENUE DE LA GRAND-MERE,,SHAWINIGAN,QC,G9T 2H2,CANADA,,,,46.540978,-72.752353
BOUTIQUE ELLE ET MOI,1400 RUE D'ACTON,,ACTON VALE,QC,J0H 1A0,CANADA,,,,45.644161,-72.568151
BOUTIQUE ÉVASION,956 RUE PRINCIPALE,,NEGUAC,NB,E9G 1N7,CANADA,,,,47.253593,-65.071601
BOUTIQUE FILLE D'EVE,2269 KING STREET O,,SHERBROOKE,QC,J1J 2G2,CANADA,,,,45.398567,-71.929033
BOUTIQUE GABRIELLE MODE,358 RUE NOTRE-DAME,,REPENTIGNY,QC,J6A 2S5,CANADA,,,,45.731645,-73.453253
BOUTIQUE GM,580 RUE NOTRE-DAME,,SAINT-TITE,QC,G0X 3H0,CANADA,,,,46.729742,-72.562294
BOUTIQUE JOLIE EVE LTEE.,445W ST. PETER BLVD,,CARAQUET,NB,E1W 1B2,CANADA,,,,47.790958,-64.949178
BOUTIQUE LA PASSERELLE,417 WOOD STREET,,PITTSBURGH,PA,15222,USA,,412-434-1325,,40.439908,-80.001149
BOUTIQUE LP,31 N LEXINGTON AVE,,ASHEVILLE,NC,28801,USA,,,,35.595848,-82.553121
BOUTIQUE M,61 PLACE LASALLE,,BAIE-COMEAU,QC,G4Z 1J8,CANADA,,,,49.217597,-68.152313
BOUTIQUE MARIE CARINE,484 AVENUE DE L'HOTEL DE VILLE,,CHANDLER,QC,G0C 1K0,CANADA,,,,49.22655,-65.728053
BOUTIQUE MARIE-JULIE,5151 RUE FOSTER,,WATERLOO,QC,J0E 2N0,CANADA,,,,45.345548,-72.516752
BOUTIQUE MAUDE,545 HAUTERIVE,,LAVAL,QC,H7G 4L8,CANADA,,,,45.57869,-73.673385
BOUTIQUE MICHEL BOURGEOIS,601 PRINCIPALE,,SAINTE-MARCELLINE-DE-KILDARE,QC,J0K 2Y0,CANADA,,,,46.118474,-73.601577
BOUTIQUE MOI-JE,36 DU ROI,,SOREL-TRACY,QC,J3P 4M5,CANADA,,,,46.044952,-73.11671
BOUTIQUE NEWBERRY,600 PIERRE CAISSE,,ST-JEAN-SUR-RICHELIEU,QC,J3A 1M1,CANADA,,,,45.33156,-73.280888
BOUTIQUE PREMIERE AVENUE,6890 SAINT-HUBERT,,MONTREAL,QC,H2S 2M6,CANADA,,,,45.497216,-73.610364
BOUTIQUE Rue,5401 BOUL DES GALERIES,,QUEBEC,QC,G2K 1N4,CANADA,,,,46.831262,-71.295508
BOUTIQUE TRIBU,386 PRINCIPALE OUEST,,MAGOG,QC,J1X 2A9,CANADA,,,,45.265463,-72.147903
BOUTIQUE ZEKARA,47 CLARK RD,,ROTHESAY,NB,E2E 2K9,CANADA,,,,45.397052,-65.983946
BOW & ARROW BOUTIQUE,2112 CENTRAL AVE.,,KEARNEY,NE,68847,USA,,,,40.697162,-99.082111
BOYD THOMAS CLOTHING,227 W. BROADWAY AVE.,,MARYVILLE,TN,37801,USA,,,,35.754398,-83.973148
BRAULT CHAUSSURE ET VETEMENTS,417 RUE SUD,,COWANSVILLE,QC,J2K 2X6,CANADA,,,,45.211683,-72.733653
BREEZY'S,29 TALBOT ST W,,AYLMER,ON,N5H 1J6,CANADA,,,,42.772866,-80.983872
BRENCHLEY,2 ST ANN DR ,SUITE #3,MANDEVILLE,LA,70471,USA,,,,30.38738,-90.081122
BRITTANY N'BROS,109 KENT ST. W,,LINDSAY,ON,K9V 2Y5,CANADA,,,,44.354477,-78.738789
BRONZE LADY BOUTIQUE,12957 VILLAGE BLVD,,MADEIRA BEACH,FL,33708,USA,,727-319-9500,,27.786843,-82.78363
BROWN HOUSE ON H ,5379 H STREET,,SACRMENTO,CA,95819,USA,,916-973-1693,,38.568129,-121.43604
BRUCE JULIAN CLOTHIER,2913 SELWYN AVE,,CHARLOTTE,NC,28209,USA,,704-364-8686,,35.173392,-80.840002
BTQ. P'TITES FOLIES,799 BLVD.STE.ADELE,,STE.ADELE,QC,J8B 2N1,CANADA,,,,45.953298,-74.136086
BTQ.MAHEU ET DAOUST INC.,213-2 VICTORIA,,VALLEYFIELD,QC,J6T 1A8,CANADA,,,,45.256407,-74.128415
BUCKEYE SURF,12 BOLTON ST,,BOBCAYGEON,ON,K0M 1A0,CANADA,,,,44.537993,-78.54529
C'NTRESE BOUTIQUE & JEWELRY,1538 L ST,,ORD,NE,68862,USA,,,,41.603216,-98.929061
CACTUS FLOWER,#112 - 5755 COWRIE ST.,,SECHELT,BC,V0N 3A0,CANADA,,,,48.767904,-123.129214
CAMBRIC LTD,197 2ND ST,,LOS ALTOS,CA,94022,USA,,650-941-2106,,37.378462,-122.116586
CAMERON ROSE,2506 BEACON AVENUE,UNIT 102,SYDNEY,BC,V8L 1Y2,CANADA,,,,48.649069,-123.396193
CAROLE OSTIGUY INC. LE TANDEM,2001 RUE VICTORIA,#106,ST.LAMBERT,QC,J4S 1H1,CANADA,,,,45.499208,-73.506655
CASCADES BOUTIQUE,10 WEST WASHINGTON STREET,,CHAGRIN FALLS,OH,44022,USA,,,,41.429998,-81.392124
CASHMERE BLUE,250 KING ST.,,MIDLAND,ON,L4R 3M3,CANADA,,,,44.750585,-79.886268
CASUAL CORNERS/MENSCH,630 GODERICH ST.,,PORT ELGIN,ON,N0H 2C0,CANADA,,,,44.436577,-81.38891
CATHERINE & COMPANY,173 MAIN STREET,,BATHURST,NB,E2A 1A6,CANADA,,,,47.620891,-65.655303
CELESTE,140 SOUTH MAIN ST,,BOERNE,TX,78006,USA,,830-249-9660,,29.793327,-98.731616
CENTRO SHOES,3319 REED ST.,,MYRTLE BEACH,SC,29577,USA,,,,33.669689,-78.940491
CHAMBRAYE BOUTIQUE,118 E STATE ST,,EAGLE,ID,83616,USA,,,,43.695329,-116.352421
CHAUSSURES FELIX BROWN,134 AVENUE LAURIER O,,MONTREAL,QC,H2T 2N7,CANADA,,,,45.521274,-73.593971
CHEEKY BIRD,2450 GRAND BLVD ,SUITE 102,KANSAS CITY,MO,64108,USA,,913-461-1287,,39.083005,-94.582946
CHEEKY COUTURES BOUTIQUE,"105, 179B LEVA AVE.",,RED DEER COUNTY,AB,T4E 0A5,CANADA,,,,52.2765,-113.7063
CHELSEA'S,224 TRADE ST.,,GREER,SC,29651,USA,,864-879-7104,,34.937417,-82.226532
CHIC ARTIQUE,132 S MAIN STREET,#130,GOODLETTSVILLE,TN,37072,USA,,,,36.321316,-86.712981
CHIC BOUTIQUE BY A PERFECT FACE,12638 OCEAN GATEWAY ,UNIT 6,OCEAN CITY,MD,21842,USA,,410-213-9883,,38.337718,-75.113615
CHIC BUFFALO,9560 MAINT ST ,SUITE #5,CLARENCE,NY,14031,USA,,,,42.992968,-78.601269
CHIC BUFFALO,216 HARROGATE SQ,,BUFFALO,NY,14221,USA,,716-435-5070,,42.983432,-78.699451
CHIC THE BOUTIQUE,9908 ILLINOIS RD.,,FORT WAYNE,IN,46804,USA,,,,41.074322,-85.271685
CHOCTAW CASINO & RESORT,4216 US-69,,DURANT,OK,74701,USA,,,,33.968881,-96.416374
CHOU CHOU,165-C ROWAYTON AVE,,ROWAYTON, CT,6853,USA,,203-853-2726,,41.068062,-73.443738
CHRISTMAS POINT WILD RICE CO,14803 EDGEWOOD DR.,,BAXTER ,MN,56425,USA,,,,46.366566,-94.244979
CHRISTOPHER'S BOUTIQUE,121 S COURT ST., ,CIRCLEVILLE,OH,43113,USA,,740-474-7916,,39.601235,-82.945624
CHRSTYM BOUTIQUE,6700 SNIDER PLAZA,,DALLAS,TX,75205,USA,,,,32.847729,-96.787497
CITY DRAWERS,105 MAIN ST,,BELFAST,ME,4915,USA,,207-338-6260,,44.425838,-69.007287
CK COLLECTION MEN'S,309 DE LA MARE AVE,,FAIRHOPE,AL,36532,USA,,,,30.522405,-87.904152
CLASSIC-COUTURE,109 E. RUTHERFORD ST.,,LANDRUM,SC,29356,USA,,,,35.175336,-82.188283
CLOTH & STONE BOUTIQUE,1625 DARBY DRIVE,,FLORENCE,AL,35630,USA,,,,34.820296,-87.656596
COAST & COUNTRY,523 BOSTON POST ROAD,,SUDBURY,MA,1776,USA,,,,42.358957,-71.429506
COLD NOSE WARM HEART,187 SOUTH PALM CANYON DRIVE,,PALM SPRINGS,CA,92262,USA,,,,33.821543,-116.547068
COLORADO COOL,2601 S. LEMAY AVE ,#10,FORT COLLINS,CO,80525,USA,,719-321-2714,,40.551229,-105.059255
CORAL COVE,704 A MAIN STREET,,BRADLEY BEACH,NJ,7720,USA,,,,40.204329,-74.017193
CORIANDER STYLE,78 HURONONTARIO ST,,COLLINGWOOD,ON,L9Y 2L9,CANADA,,,,44.500113,-80.215494
COTTAGE 321 BOUTIQUE,3729 HICKORY BLVD.,,HUDSON,NC,28638,USA,,828-396-3210,,35.819756,-81.442927
COTTAGE BOUTIQUE,632 MAIN ST.,,HUMBOLT,SK,S0K 2A0,CANADA,,,,52.320475,-106.095188
COTTAGE TOYS,180 CHARLOTTE ST,,PETERBOROUGH,ON,K9J 2T8,CANADA,,,,44.303619,-78.321084
COUNTRY MAGIC,122 BOBCAYGEON RD,,MINDEN,ON,K0M 2K0,CANADA,,,,44.925391,-78.724563
COUSIN-COUSINES,1570 ST-LOUIS,,PLESSISVILLE,QC,G6L 2M9,CANADA,,,,46.219515,-71.771965
CRABAPPLE CLOTHING COMPANY,3526 GARRISON GATE SOUTH WEST,,CALGARY,AB,T2T 6N1,CANADA,,,,51.02265,-114.114583
CRABAPPLES,302-10TH STREET,,WAINWRIGHT,AB,T9W 1P8,CANADA,,,,52.834519,-110.860145
CREEKSIDE FASHION,3325 COAST MERIDIAN RD,,PORT COQUITLAM,BC,V3B 3N6,CANADA,,,,49.296417,-122.755906
CRICKET BY THE CREEK,1517 6TH AVE SE,,DECATUR,AL,35601,USA,,256-350-9963,,34.583418,-86.980827
CRICKET CLOTHING CO.,2814 2ND AVE. N,,BILLINGS,MT,59101,USA,,406-259-3624,,45.78236,-108.507068
CRINOLINE,82 BOUL. BROMONT #102A,,BROMONT,QC,J2L 2K3,CANADA,,,,45.321354,-72.64775
CROCUS & IVY,4065 ALBERT STREET,,REGINA,SK,S4S 3R5,CANADA,,,,50.414239,-104.617067
CROOKED CORNER,10107 100 STREET,,FORT ST JOHN,BC,V1J 3Y6,CANADA,,,,56.247648,-120.847023
CRUSH BALBOA,317 MARINE AVE,,NEWPORT BEACH,CA,92662,USA,,949-675-3303,,33.60774,-117.890023
CRUSH MARKETPLACE,14 MILL STREET,,ALMONTE,ON,K0A1A0,CANADA,,,,45.226049,-76.194528
CT WEEKENDS ,437 DANIELS STREET,CAMERON VILLAGE,RALEIGH,NC,27605,USA,,,,35.790018,-78.661576
"CTGRACE, A BOUTIQUE",122 EAST MAIN ST,,FRANKLIN,TN,37064,USA,,,,35.926511,-86.866613
CYRESE & CO,4570 KINGWOOD DR ,SUITE A,KINGWOOD,TX,77345,USA,,,,30.050137,-95.182233
DAISIES MERCANTILE,1347 PARK ST,,ALAMEDA,CA,94501,USA,,510-522-6443,,37.76374,-122.243397
DAMSELS,413 FITZWILLIAM ST,,NANAIMO,BC,V9R 3A9,CANADA,,,,49.165253,-123.942093
DANDELION & BURDOCK,121 W. LINCOLN AVE.,,FERGUS FALLS,MN,56537,USA,,,,46.283312,-96.075402
DANNI NICOLES ,119 N MAIN ST,,HANNIBAL,MO,63401,USA,,573-221-5066,,39.709783,-91.355977
DARRYL'S,155 MAIN STREET,,BEACON,NY,12508,USA,,,,41.508195,-73.976015
DAVID JONES FASHIONS,5005 S WESTERN AVE,SUITE 130,SIOUX FALLS,SD,57108,USA,,605.338-7300,,43.499561,-96.749523
DAVID LINDSEY CLOTHIER,223 MAIN ST,,GREENWOOD,SC,29646,USA,,864-229-8/004,,34.191152,-82.160383
DEAR MYRA BOUTIQUE,3520 VILLAGE DRIVE SUITE 550,,LINCOLN,NE,68516,USA,,,,40.754532,-96.669721
DEAR MYRA BOUTIQUE,7500 HIDDEN VALLY DRIVE,,LINCOLN,NE,68526,USA,,402-217-6485,,40.735616,-96.56519
DEASEE'S BOUTIQUE,115 WEST OCEAN AVE,,LOMPOC,CA,93436,USA,,805-430-8396,,34.639177,-120.458338
DEJA NU BOUTIQUE,207 E 2ND ST.,,LAMPASAS,TX,76550,USA,,512-566-6545,,31.065984,-98.181701
DEKADE,444 HOLLANDVIEW TRAIL,,AURORA,ON,L4G 7Z9,CANADA,,,,44.015622,-79.4484
