title,address1,address2,city,state,zipcode,website,phone,tags,latitude,longitude
STYLE NICHE BOUTIQUE,2930 146TH STREET W,SUITE 111,ROSEMOUNT,MN,55068,,952-237-7491,,44.737426,-93.125239
TRU BLUE BOUTIQUE,201 N RIVERSIDE,SUITE C4,ST. CLAIR,MI,48079,,810-423-8325,,42.825518,-82.486185
V2V,415 N. FIFTH AVE, ,ANN ARBOR,MI,48104,,734-665-9110,,42.284611,-83.746207
CELESTE,140 SOUTH MAIN ST,,BOERNE,TX,78006,,830-249-9660,,29.793327,-98.731616
DONNAS FASHION,10051 S YALE AVE,#105,TULSA,OK,74137,,918-299-6565,,36.018025,-95.921277
HAZEL'S HAVEN,4120 ROGERS AVE ,SUITE 102,FORT SMITH,AR,72903,,479-242-4295,,35.368912,-94.386356
KATHY'S BOUTIQUE,122 N PALESTINE ST,,ATHENS,TX,75751,,903-677-5448,,32.205021,-95.853557
K.LANES (FAB),600 S. TYLER ,STE W-104,WICHITA,KS,67209,,316-558-8840,,37.673422,-97.442833
PANACHE APPAREL & ACCESSORIES INC.,9364 THREE RIVERS RD. STE A,,GULFPORT,MS,39503,,228-822-0120,,30.423157,-89.087215
THE 308 BOUTIQUE,320 WEST AVENUE,,HOLDREGE,NE,68949,,308-293-5366,,40.437144,-99.371165
VESTA'S BOUTIQUE,11525 CANTRELL RD, #303,LITTLE ROCK,AR,72212,,501-375-1777,,34.792765,-92.402839
VOGUE BOUTIQUE,144 SOUTH MAIN STREET,,CARL JUNCTION,MO,64834,,417-649-7911,,37.17599,-94.565117
CT WEEKENDS ,437 DANIELS STREET,CAMERON VILLAGE,RALEIGH,NC,27605,,,,35.790018,-78.661576
JUDEES,1205 E. UNIVERSITY DR. ,,GRANGER,IL,46530,,219-324-6443,,41.721014,-86.165389
THE 308 BOUTIQUE,725 N. 210,SUITE 130,ELKHORN,NE,68022,,,,41.266199,-96.243557
LEE TRACY,1000 GOVERNMENT STREET,SUITE 103,OCEAN SPRINGS,MS,39564,,,,30.413451,-88.82754
